filename,translation,author,year,source,audience type,period
Иначе жить нельзя,One Cannot Live Otherwise,А. Софронов,1952,Theatre,adult play,1945—1953
Пролог,Prologue,А. Штейн,1952,Theatre,adult play,1945—1953
Девицы-красавицы,Fair Maidens,А. Симурков,1952,Theatre,adult play,1945—1953
Золотая чума,The Golden Plague,В. Соловьев,1952,Theatre,adult play,1945—1953
Новые времена,New Times,Г. Мдивани,1952,Theatre,adult play,1945—1953
Раки,The Crayfish,С. Михалков,1952,Theatre,adult play,1945—1953
Европейская хроника,European Chronicle,А. Арбузов,1953,Theatre,adult play,1945—1953
Твое личное дело,Your Personal Affair,Е. Успенская; О. Ошанин,1953,Theatre,adult play,1945—1953
Лермонтов,Lermontov,Б. Лавренев,1953,Theatre,adult play,1945—1953
Беспокойная должность,A Troubled Position,А. Кожемякин,1953,Theatre,adult play,1945—1953
Ломоносов,Lomonosov,Вс. Иванов,1953,Theatre,adult play,1945—1953
Стрекоза,The Dragonfly,М. Бараташвили,1953,Theatre,adult play,1945—1953
Опасный спутник,Dangerous Companion,А. Салынский,1953,Theatre,adult play,1945—1953
Не называя фамилий,Without Naming Names,В. Минко,1953,Theatre,adult play,1945—1953
Камни в печени,Stones in the Liver,А. Макаенок,1953,Theatre,adult play,1945—1953
Варвара Волкова,Varvara Volkova,А. Софронов,1953,Theatre,adult play,1945—1953
Шестьдесят часов,Sixty Hours,З. Аграненко,1953,Theatre,adult play,1945—1953
Победители,The Victors,Б. Чирсков,1946,Soviet Dramaturgy,adult play,1945—1953
"За тех, кто в море",For Those at Sea,Б. Лавренев,1945,Soviet Dramaturgy,adult play,1945—1953
Великий государь,The Great Sovereign,В. Соловьев,1945,Soviet Dramaturgy,adult play,1945—1953
Старые друзья,Old Friends,Л. Малюгин,1945,Soviet Dramaturgy,adult play,1945—1953
Русский вопрос,The Russian Question,К. Симонов,1946,Soviet Dramaturgy,adult play,1945—1953
Жизнь в цитадели,Life in the Citadel,А. Якобсон,1946,Soviet Dramaturgy,adult play,1945—1953
Великая сила,The Great Force,Б. Ромашов,1947,Soviet Dramaturgy,adult play,1945—1953
Борьба без линии фронта,Struggle without a Front Line,А. Якобсон,1947,Soviet Dramaturgy,adult play,1945—1953
Хлеб наш насущный,Our Daily Bread,Н. Вирта,1947,Soviet Dramaturgy,adult play,1945—1953
В одном городе,In One City,А. Софронов,1947,Soviet Dramaturgy,adult play,1945—1953
Глина и фарфор,Clay and Porcelain,А. Григулис,1947,Soviet Dramaturgy,adult play,1945—1953
Московский характер,A Moscow Character,А. Софронов,1948,Soviet Dramaturgy,adult play,1945—1953
Заговор обреченных,Conspiracy of the Doomed,Н. Вирта,1948,Soviet Dramaturgy,adult play,1945—1953
Макар Дубрава,Makar Dubrava,А. Корнейчук,1949,Soviet Dramaturgy,adult play,1945—1953
Зеленая улица,Green Street,А. Суров,1949,Soviet Dramaturgy,adult play,1945—1953
Незабываемый 1919,The Unforgettable 1919,Вс. Вишневский,1949,Soviet Dramaturgy,adult play,1945—1953
Илья Головин,Ilya Golovin,С. Михалков,1949,Soviet Dramaturgy,adult play,1945—1953
Чужая тень,Another's Shadow,К. Симонов,1949,Soviet Dramaturgy,adult play,1945—1953
Голос Америки,The Voice of America,Б. Лавренев,1949,Soviet Dramaturgy,adult play,1945—1953
Потопленные камни,Sunken Stones,И. Мосашвилли,1950,Soviet Dramaturgy,adult play,1945—1953
Рассвет над Москвой,Dawn over Moscow,А. Суров,1950,Soviet Dramaturgy,adult play,1945—1953
Флаг адмирала,The Admiral's Flag,А. Штейн,1950,Soviet Dramaturgy,adult play,1945—1953
Свадьба с приданым,Wedding with a Dowry,Н. Дьяконов,1950,Soviet Dramaturgy,adult play,1945—1953
Калиновая роща,The Viburnum Grove,А. Корнейчук,1950,Soviet Dramaturgy,adult play,1945—1953
Поют жаворонки,The Larks Are Singing,К. Крапива,1950,Soviet Dramaturgy,adult play,1945—1953
Совесть,Conscience,Ю. Чепурин,1950,Soviet Dramaturgy,adult play,1945—1953
Семья Аллана,Allan's Family,Г. Мухтаров,1950,Soviet Dramaturgy,adult play,1945—1953
Канун грозы,On the Eve of the Storm,П. Маляревский,1950,Soviet Dramaturgy,adult play,1945—1953
На новой земле,On New Land,А. Каххар,1951,Soviet Dramaturgy,adult play,1945—1953
